Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x16x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,16,64,1,1,1,1,1,1,12,4,1,1,128,16,16,100,110,6106906624,1924413784064,315,7.64078,744.362,251861
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x16x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,16,64,1,1,1,1,1,1,12,4,1,1,128,16,16,100,110,6106906624,1924413784064,315,7.64084,744.356,251859
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x32x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,32,64,1,1,1,1,1,1,10,4,1,1,128,32,16,100,110,6643777536,1924413784064,289,3.82495,1617.67,503121
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x32x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,32,64,1,1,1,1,1,1,10,4,1,1,128,32,16,100,110,6643777536,1924413784064,289,3.82849,1616.17,502656
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x32x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,32,64,1,1,1,1,1,1,10,4,1,1,128,32,16,100,110,6106906624,1924413784064,315,3.80458,1494.91,505815
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x32x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,32,64,1,1,1,1,1,1,10,4,1,1,128,32,16,100,110,6106906624,1924413784064,315,3.80307,1495.5,506016
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x64x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,64,64,1,1,1,1,1,1,8,4,1,1,128,64,16,100,110,6643777536,1924413784064,289,2.19182,2822.99,877997
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x64x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,64,64,1,1,1,1,1,1,8,4,1,1,128,64,16,100,110,6643777536,1924413784064,289,2.19275,2821.8,877627
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x64x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,64,64,1,1,1,1,1,1,8,4,1,1,128,64,16,100,110,6106906624,1924413784064,315,2.15748,2636.18,891973
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x64x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,64,64,1,1,1,1,1,1,8,4,1,1,128,64,16,100,110,6106906624,1924413784064,315,2.16527,2626.69,888763
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,6643777536,1924413784064,289,1.63878,3775.66,1.17429e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,6643777536,1924413784064,289,1.64038,3771.99,1.17315e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_void_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,void:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x85x7168][4096x943x7168][4096x250x7168][4096x85x7168][4096x432x7168][4096x358x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x87x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x683x7168][4096x334x7168][4096x85x7168][4096x241x7168][4096x85x7168][4096x88x7168][4096x91x7168][4096x674x7168][4096x85x7168][4096x209x7168][4096x97x7168][4096x85x7168][4096x85x7168][4096x533x7168][4096x247x7168][4096x85x7168][4096x85x7168][4096x85x7168][4096x655x7168][4096x478x7168][4096x423x7168][4096x85x7168][4096x329x7168][4096x644x7168][4096x85x7168][4096x386x7168][4096x86x7168][4096x338x7168][4096x1364x7168][4096x85x7168][4096x125x7168][4096x85x7168][4096x325x7168][4096x646x7168][4096x1264x7168][4096x85x7168][4096x321x7168][4096x1118x7168][4096x85x7168][4096x85x7168][4096x216x7168][4096x85x7168][4096x335x7168][4096x1042x7168][4096x510x7168][4096x91x7168][4096x95x7168][4096x85x7168][4096x114x7168][4096x696x7168][4096x85x7168][4096x85x7168][4096x234x7168][4096x85x7168][4096x499x7168][4096x364x7168][4096x85x7168][4096x85x7168][4096x90x7168][4096x515x7168][4096x1229x7168][4096x85x7168][4096x538x7168][4096x536x7168][4096x412x7168][4096x86x7168][4096x652x7168][4096x85x7168][4096x303x7168][4096x88x7168][4096x615x7168][4096x164x7168][4096x560x7168][4096x85x7168][4096x666x7168][4096x1057x7168][4096x565x7168][4096x719x7168][4096x545x7168][4096x85x7168][4096x1336x7168][4096x85x7168][4096x1152x7168]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,6106906624,1924413784064,315,1.65583,3434.83,1.1622e+06
