Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_0x0x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.14427,1829.78,901009
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_0x0x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.15089,1819.24,895821
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_0x0x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.17632,1461.13,876459
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_0x0x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.17485,1462.95,877550
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x1x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.22823,1704.68,839412
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x1x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.21461,1723.8,848824
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x1x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.21172,1418.44,850852
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x1x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.21615,1413.27,847754
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x2x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.09754,1907.68,939368
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x2x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.09839,1906.2,938640
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x2x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.10655,1553.25,931718
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x2x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,2,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.10635,1553.54,931891
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x4x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,4,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.17785,1777.6,875316
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_1x4x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,4,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.1767,1779.34,876173
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x4x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,4,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.18919,1445.31,866969
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_1x4x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,4,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.18902,1445.52,867097
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_4x4x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,4,4,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.64425,1273.38,627030
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_f32_f32_64x128x64_4x4x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,f32:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,4,4,1,1,1,1,7,4,1,1,64,128,16,100,110,2248146944,1030993477632,458,1.64405,1273.53,627104
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_4x4x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,4,4,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.67845,1024.01,614253
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_void_f32_64x128x64_4x4x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,void:row,f32:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,4,4,1,1,1,1,7,4,1,1,64,128,16,100,110,1845493760,1030993477632,558,1.67825,1024.13,614327
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_tnt_align8_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:row,bf16:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,2046820352,1030993477632,503,1.13638,1677.47,907258
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_gemm_grouped_bf16_bf16_f32_bf16_bf16_64x128x64_0x0x1_0_tnt_align8_stream_k_1sm,passed,success,grouped,,,,,bf16:row,bf16:column,bf16:row,bf16:row,1,0,invalid,invalid,heuristic,1,false,'[2703x3072x5120][347x3072x5120][1089x3072x5120][610x3072x5120][170x3072x5120][2366x3072x5120][361x3072x5120][181x3072x5120][355x3072x5120][2728x3072x5120][190x3072x5120][770x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][211x3072x5120][823x3072x5120][170x3072x5120][170x3072x5120][1034x3072x5120][170x3072x5120][228x3072x5120][379x3072x5120][272x3072x5120][187x3072x5120][1173x3072x5120][170x3072x5120][170x3072x5120][170x3072x5120][1204x3072x5120][183x3072x5120][171x3072x5120][195x3072x5120][170x3072x5120][1548x3072x5120][2468x3072x5120][948x3072x5120][1286x3072x5120][216x3072x5120][199x3072x5120][178x3072x5120][170x3072x5120][170x3072x5120][945x3072x5120][170x3072x5120][1563x3072x5120][2403x3072x5120][874x3072x5120]',,tensorop,f32,64,128,64,1,1,1,1,1,1,8,4,1,1,64,128,16,100,110,2046820352,1030993477632,503,1.12355,1696.63,917620
