Problem,Provider,OperationKind,Operation,Disposition,Status,gemm_kind,m,n,k,num_groups,A,B,C,D,alpha,beta,runtime_input_datatype_a,runtime_input_datatype_b,raster_order,swizzle_size,use_pdl,problem-sizes,problem-sizes-file,op_class,accum,cta_m,cta_n,cta_k,cluster_m,cluster_n,cluster_k,cluster_m_fallback,cluster_n_fallback,cluster_k_fallback,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,64,256,64,1,1,1,1,1,1,4,4,1,1,64,256,16,100,110,7650410496,3848827568128,503,4.58694,1553.32,839084
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_64x256x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,64,256,64,1,1,1,1,1,1,4,4,1,1,64,256,16,100,110,7650410496,3848827568128,503,4.54817,1566.56,846236
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x16x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,16,64,1,1,1,1,1,1,11,4,1,1,128,16,16,100,110,7650410496,3848827568128,503,14.9977,475.073,256628
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x16x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,16,64,1,1,1,1,1,1,11,4,1,1,128,16,16,100,110,7650410496,3848827568128,503,14.9966,475.108,256647
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x32x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,32,64,1,1,1,1,1,1,10,4,1,1,128,32,16,100,110,7650410496,3848827568128,503,7.48686,951.668,514078
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x32x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,32,64,1,1,1,1,1,1,10,4,1,1,128,32,16,100,110,7650410496,3848827568128,503,7.48786,951.54,514009
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x64x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,64,64,1,1,1,1,1,1,8,4,1,1,128,64,16,100,110,7650410496,3848827568128,503,4.01792,1773.31,957915
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x64x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,64,64,1,1,1,1,1,1,8,4,1,1,128,64,16,100,110,7650410496,3848827568128,503,4.01577,1774.25,958427
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,7650410496,3848827568128,503,3.18046,2240.24,1.21015e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x128x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,128,64,1,1,1,1,1,1,6,4,1,1,128,128,16,100,110,7650410496,3848827568128,503,3.13166,2275.15,1.229e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x192x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,192,64,1,1,1,1,1,1,4,4,1,1,128,192,16,100,110,7650410496,3848827568128,503,2.94524,2419.15,1.30679e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x192x64_1x1x1_0_tnn_align8_stream_k_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,192,64,1,1,1,1,1,1,4,4,1,1,128,192,16,100,110,7650410496,3848827568128,503,2.98225,2389.13,1.29058e+06
1,CUTLASS,grouped_gemm,cutlass3x_sm100_tensorop_moe_gemm_bf16_bf16_f32_f32_bf16_128x256x64_1x1x1_0_tnn_align8_mixed_cpasync_1sm,incorrect,success,grouped,,,,,bf16:row,bf16:column,f32:column,bf16:column,1,0,invalid,invalid,heuristic,1,false,'[4096x375x7168][4096x2436x7168][4096x1301x7168][4096x170x7168][4096x1228x7168][4096x170x7168][4096x170x7168][4096x576x7168][4096x170x7168][4096x2703x7168][4096x2728x7168][4096x1099x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x2318x7168][4096x2180x7168][4096x711x7168][4096x293x7168][4096x172x7168][4096x170x7168][4096x655x7168][4096x1361x7168][4096x1240x7168][4096x170x7168][4096x170x7168][4096x275x7168][4096x1303x7168][4096x170x7168][4096x1322x7168][4096x170x7168][4096x1002x7168][4096x928x7168][4096x170x7168][4096x537x7168][4096x1377x7168][4096x1076x7168][4096x178x7168][4096x2180x7168][4096x1263x7168][4096x244x7168][4096x1375x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1131x7168][4096x428x7168][4096x668x7168][4096x243x7168][4096x1390x7168][4096x170x7168][4096x684x7168][4096x170x7168][4096x1420x7168][4096x190x7168][4096x303x7168][4096x170x7168][4096x170x7168][4096x491x7168][4096x1022x7168][4096x170x7168][4096x170x7168][4096x1564x7168][4096x195x7168][4096x518x7168][4096x171x7168][4096x520x7168][4096x623x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x170x7168][4096x1021x7168][4096x321x7168][4096x349x7168][4096x2424x7168][4096x522x7168][4096x1148x7168][4096x170x7168][4096x170x7168][4096x279x7168][4096x1161x7168][4096x662x7168][4096x205x7168][4096x564x7168][4096x867x7168][4096x1267x7168][4096x170x7168][4096x263x7168][4096x170x7168][4096x1041x7168][4096x452x7168][4096x1383x7168][4096x170x7168][4096x170x7168]',,tensorop,f32,128,256,64,1,1,1,1,1,1,3,4,1,1,128,256,16,100,110,7650410496,3848827568128,503,3.23395,2203.19,1.19013e+06
